movie_name,Directed by,Produced by,Productioncompany,Distributed by,Running time (mins),Country,Language, Budget ,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies,,,,,,,,,,
Chicken Little (2005 film),Mark Dindal,Randy Fullmer,,Buena Vista Distribution,81,United States,English," $150,000,000.00 ",,,,,Dan Molina,"Steve Bencich, Ron J. Friedman",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Mark Johnson,,Buena Vista Distribution,143,,English," $180,000,000.00 ",,Donald McAlpine,,,"Sim Evan-Jones,Jim May",Christopher MarkusStephen McFeely,United Kingdom,"Walt Disney Pictures, Walden Media",,,,,,,,,,
Kronk's New Groove,"Elliot M. Bour, Saul Andrew Blinkoff",Prudence Fenton,,Walt Disney Pictures,72,United States,English,,David Spade,,13/12/2005,,Philip Malamuth  Arthur D. Noda,Tom Rogers,,"Walt Disney Pictures, DisneyToon Studios, Toon City Animation",,,,,,,,,,
Glory Road (film),James Gartner,Jerry Bruckheimer,,Buena Vista Distribution,118,United States,English," $30,000,000.00 ",,Jeffrey L. Kimball,13/01/2006,Bettina Gilois,John Wright,,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Roving Mars,George Butler,Frank Marshall,,Buena Vista Distribution,40,United States,English," $1,000,000.00 ",Paul Newman,T.C. Christensen,27/01/2006,Robert AndrusGeorge Butler,Nancy Baker,,,"Walt Disney Pictures, White Mountain Films, The Kennedy/Marshall Company",,,,,,,,,,
Bambi II,Brian Pimental,Jim Ballantine,,Buena Vista Distribution,72,,English,,,,,,"Jeremy Milton,Mark Solomon",Alicia Kirk,United States,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Eight Below,Frank Marshall,David Hoberman,,Buena Vista Distribution,120,United States,English," $40,000,000.00 ",,Don Burgess,17/02/2006,,Christopher Rouse,David DiGillio,,"Walt Disney Pictures, Spyglass Entertainment, Mandeville Films, The Kennedy/Marshall Company, Vertigo Entertainment",,,,,,,,,,
The Shaggy Dog (2006 film),Brian Robbins,"Tim Allen, David Hoberman",,Buena Vista Distribution,99,United States,English," $50,000,000.00 ",,Gabriel Beristain,10/03/2006,,Ned Bastille,"The Wibberleys, Geoff Rodkey, Jack Amiel, Michael Begler",,"Walt Disney Pictures, Mandeville Films, Tollin/Robbins Productions, Robert Simonds Productions",,,,,,,,,,
The Wild,Steve Spaz Williams,Beau Flynn,,Buena Vista Distribution,82,,English," $80,000,000.00 ",,,14/04/2006,,"Scott Balcerek,Steven L. Wagner","Ed Decter, John J. Strauss",United States,Hoytyboy Pictures,,,,,,,,,,
Cars (film),John Lasseter,Darla K. Anderson,,Buena Vista Distribution,117,United States,English," $120,000,000.00 ",,"Jeremy Lasky, Jean Claude Kalache",,,Ken Schretzmann,"Dan Fogelman, Joe Ranft, Jorgen Klubien",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Leroy & Stitch,Tony CraigBobs Gannaway,Igor Khait,,Walt Disney Pictures,72,United States,English,,,,,Jess Winfield,Tony Mizgalski,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Jerry Bruckheimer,,Buena Vista Distribution,150,United States,English," $225,000,000.00 ",,Dariusz Wolski,,"Ted Elliott, Terry Rossio","Craig Wood, 'Stephen Rivkin'",,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Invincible (2006 film),Ericson Core,Mark Ciardi,,Buena Vista Distribution,104,United States,English," $30,000,000.00 ",,Ericson Core,25/08/2006,Brad Gann,Gerald B. Greenberg,,,Walt Disney Pictures,,,,,,,,,,
Brother Bear 2,Ben Gluck,Jim Ballantine,DisneyToon Studios,Walt Disney Pictures,73,United States,English,,,,29/08/2006,Rich Burns,,,,,,,,,,,,,,
The Nightmare Before Christmas,Henry Selick,Denise Di Novi,,Buena Vista Distribution,76,United States,English," $24,000,000.00 ",,Pete Kozachik,,,Stan Webb,Caroline Thompson,,"Touchstone Pictures, Touchstone Pictures",,,,,,,,,,
The Santa Clause 3: The Escape Clause,Michael Lembeck,"Robert Newmyer, Brian Reilly",,Buena Vista Distribution,92,United States,English," $12,000,000.00 ",,Robbie Greenberg,03/11/2006,"Ed Decter, John J. Strauss",David Finfer,,,Walt Disney Pictures,,,,,,,,,,
The Fox and the Hound 2,Jim Kammerud,Ferrell Barron,,Walt Disney Pictures,69,,English,,,,12/12/2006,,"Jennifer Dolce,Ron Price",Roger S.H. Schulman,,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Cinderella III: A Twist in Time,Frank Nissen,Margot Pipkin,,Walt Disney Pictures,70,United States,English," $8,000,000.00 ",,,06/02/2007,Dan Berendsen,Lisa Linder Silver,,,"DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Bridge to Terabithia (2007 film),Gábor Csupó,Hal Lieberman,Walden Media,Buena Vista Distribution,95,United States,English," $17,000,000.00 ",,Michael Chapman,16/02/2007,,John Gilbert,David L. Paterson,,,,,,,,,,,,
Meet the Robinsons,Stephen Anderson,Dorothy McKim,,Buena Vista Distribution,95,United States,English," $150,000,000.00 ",,,,,Ellen Keneshea,"Don Hall, Nathan Greno",,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Pirates of the Caribbean: At World's End,Gore Verbinski,Jerry Bruckheimer,,Buena Vista Distribution,169,United States,English," $300,000,000.00 ",,Dariusz Wolski,,"Ted Elliott, Terry Rossio","Craig Wood, 'Stephen Rivkin'",,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Ratatouille (film),Brad Bird,Brad Lewis,,Buena Vista Distribution,111,United States,English," $150,000,000.00 ",,Sharon Calahan,,,Darren T. Holmes,Brad Bird,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Secret of the Magic Gourd (2007 film),John ChuFrankie Chung,Han San PingJohn Chu,,Buena Vista Distribution,85,China,Chinese,,,,,Zhang Tianyi,Angie Lam,John ChuLam Kee To,,"Walt Disney Pictures, Centro Digital Pictures Limited",,,,,,,,,,
Underdog (2007 film),Frederik Du Chau,"Gary Barber, Roger Birnbaum, Jonathan Glickman",,Buena Vista Distribution,82,United States,English," $25,000,000.00 ",,David Eggby,03/08/2007,,Tom Finan,Adam Rifkin,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
The Pixar Story,Leslie Iwerks,Leslie Iwerks,,Buena Vista Distribution,87,,English,,Stacy Keach,Suki Medencevic,28/08/2007,Leslie Iwerks,"Leslie Iwerks  Stephen Myers, A.C.E",,,"Leslie Iwerks Productions, Pixar Animation Studios",,,,,,,,,,
The Game Plan (film),Andy Fickman,Mark Ciardi,,Buena Vista Distribution,110,United States,English," $22,000,000.00 ",,Greg Gardiner,,,Michael Jablow,Kathryn Price,,Walt Disney Pictures,,,,,,,,,,
Enchanted (film),Kevin Lima,"Barry Josephson, Barry Sonnenfeld",,Walt Disney Pictures,107,United States,English," $85,000,000.00 ",Julie Andrews,Don Burgess,,Bill Kelly,Stephen A. Rotter,,,"Walt Disney Pictures, Josephson Entertainment, Right Coast Productions",,,,,,,,,,
National Treasure: Book of Secrets,Jon Turteltaub,Jerry Bruckheimer,,Walt Disney Pictures,124,United States,English," $130,000,000.00 ",,"John Schwartzman, 'Amir Mokri'",21/12/2007,,"William Goldenberg, 'David Rennie'",Cormac WibberleyMarianne Wibberley,,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films",,,,,,,,,,
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Bruce Hendricks,Art Repola,Walt Disney Productions,Walt Disney Pictures,74,United States,English," $7,000,000.00 ",,Mitchell Amundsen,,,Michael Tronick,,,,,,,,,,,,,
College Road Trip,Roger Kumble,Andrew Gunn,,Walt Disney Pictures,82,United States,English," $25,000,000.00 ",,Theo van de Sande,07/03/2008,"Cinco Paul, Ken Daurio",Roger Bondelli,,,"Walt Disney Pictures, Gunn Films",,,,,,,,,,
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Mark Johnson,,Walt Disney Pictures,150,,English," $225,000,000.00 ",,Karl Walter Lindenlaub,,,Sim Evan-Jones,Christopher MarkusStephen McFeely,"United Kingdom,United States","Walt Disney Pictures, Walden Media",,,,,,,,,,
WALL-E,Andrew Stanton,Jim Morris,,Walt Disney Pictures,98,United States,English," $180,000,000.00 ",,Danielle Feinberg,,,Stephen Schaffer,Jim Reardon,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Little Mermaid: Ariel's Beginning,Peggy Holmes,Kendra Halland,,Walt Disney Pictures,77,,English,,,,26/08/2008,,John Royer,Evan Spiliotopoulos,"United States,Philippines","DisneyToon Studios, DisneyToon Studios",,,,,,,,,,
Beverly Hills Chihuahua,Raja Gosnell,"David Hoberman, Todd Lieberman, John Jacobs",,Walt Disney Pictures,91,United States,English," $20,000,000.00 ",,Phil Meheux,,,Sabrina Plisco,Jeff Bushell,,"Walt Disney Pictures, Mandeville Films",,,,,,,,,,
Morning Light (film),Mark Monroe,Morgan Sackett,Walt Disney Productions,Walt Disney Pictures,100,United States,English,,,John Brooks,17/10/2008,Mark Morone,Paul Crowder,,,,,,,,,,,,,
High School Musical 3: Senior Year,Kenny Ortega,Bill BordenBarry Rosenbush,,Walt Disney Pictures,112,United States,English," $11,000,000.00 ",,Daniel Arany,,Peter Barsocchini,Don Brochu,,,Walt Disney Pictures,,,,,,,,,,
Roadside Romeo,Jugal Hansraj,Aditya Chopra,,Walt Disney Pictures,93,,,,,Anshul Chobey,,Jugal Hansraj,Arif Ahmed,,"India,United States","Walt Disney Pictures India, Yash Raj Films",,,,,,,,,,
Tinker Bell (film),Bradley Raymond,Jeannine Roussel,,Buena Vista Distribution,78,United States,English," $50,000,000.00 ",Loreena McKennitt,,28/10/2008,Jeffrey M. Howard,Mark W. Rosenbaum,,,"Walt Disney Pictures, DisneyToon Studios, Walt Disney PicturesDisneyToon Studios",,,,,,,,,,
Bolt (2008 film),"Chris Williams, Byron Howard",Clark Spencer,,Walt Disney Pictures,96,United States,English," $150,000,000.00 ",,,,,Tim Mertens,Dan Fogelman,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Bedtime Stories (film),Adam Shankman,"Andrew Gunn, Adam Sandler, Jack Giarraputo",,Walt Disney Pictures,99,United States,English," $80,000,000.00 ",,Michael Barrett,25/12/2008,,Michael Tronick,Tim Herlihy,,"Walt Disney Pictures, Happy Madison Productions, Gunn Films, Offspring Entertainment",,,,,,,,,,
Jonas Brothers: The 3D Concert Experience,Bruce Hendricks,"Alan Sacks, Johnny Wright",,Walt Disney Pictures,76,United States,English,,,"Mitchell Amundsen, 'Reed Smoot'",27/02/2009,,Michael Tronick,,,Walt Disney Pictures,,,,,,,,,,
Race to Witch Mountain,Andy Fickman,Andrew Gunn,,Walt Disney Pictures,98,United States,English," $50,000,000.00 ",,Greg Gardiner,,,David Rennie,Mark Bomback,,"Walt Disney Pictures, Gunn Films",,,,,,,,,,
Hannah Montana: The Movie,"Peter Chelsom, Peter Chelsom","Billy Ray Cyrus, Alfred Gough, Miles Millar",,Walt Disney Pictures,97,United States,English," $300,000,000.00 ",,David Hennings,10/04/2009,"Dan Berendsen, 'Dan Berendsen",David Moritz,,,Walt Disney Pictures,,,,,,,,,,
Earth (2007 film),"Alastair Fothergill, Mark Linfield",Alix TidmarshSophokles Tasioulius,,United Artists,99,,English," $47,000,000.00 ",Patrick Stewart and crew,,,Leslie Megahey,"Martin Elsbury,Vartan Nazarian",,"France,United Kingdom,Germany,United States","BBC Worldwide, Discovery Channel, BBC Natural History Unit",,,,,,,,,,
The Boys: The Sherman Brothers' Story,Gregory V. ShermanJeffrey C. Sherman,"Stuart Cornfeld, Ben Stiller, Stephen Buchsbaum",,Walt Disney Pictures,101,United States,English,,,Richard Numeroff,,,Rich Evirs,,,"Walt Disney Pictures, Red Hour Films",,,,,,,,,,
Up (2009 film),Pete Docter,Jonas Rivera,,Walt Disney Pictures,96,United States,English," $175,000,000.00 ",,Patrick Lin,,,Kevin Nolting,Bob Peterson,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Lilly the Witch: The Dragon and the Magic Book,Stefan Ruzowitzky,,Walt Disney Productions,Buena Vista Distribution,89,Germany,German,,,Peter von Haller,,Stefan RuzowitzkyArmin ToerkellRalph Martin,,,,,,,,,,,,,,
G-Force (film),Hoyt H. Yeatman Jr.,Jerry Bruckheimer,,Walt Disney Pictures,90,United States,English," $150,000,000.00 ",,Bojan Bazelli,24/07/2009,,Mark Goldblatt,Cormac WibberleyMarianne Wibberley,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Tinker Bell and the Lost Treasure,Klay Hall,Sean Lurie,DisneyToon Studios,Walt Disney Pictures,82,United States,English," $300,000,000.00 ",Grey DeLisle,,27/10/2009,Evan Spiliotopoulos,Jeremy Milton,,,,,,,,,,,,,
The Book of Masters,Vadim Sokolovsky,"Leonid Vereshchagin, Marina Zhigalov-Ozkan",,Walt Disney Pictures,101,Russia,Russian," $8,000,000.00 ",,Archil Akhvlediani,29/10/2009,Anna Starobinets,,,,Walt Disney Pictures CIS,,,,,,,,,,
A Christmas Carol (2009 film),Robert Zemeckis,"Steve Starkey, Jack Rapke",,Walt Disney Pictures,96,United States,English," $175,000,000.00 ",,Robert Presley,,,Jeremiah O'Driscoll,Robert Zemeckis,,"Walt Disney Pictures, ImageMovers Digital",,,,,,,,,,
Old Dogs (film),Walt Becker,Robert L. Levy,,Walt Disney Pictures,88,United States,English," $35,000,000.00 ",,Jeffrey L. Kimball,25/11/2009,"David Diamond, 'David Weissman'",Tom LewisRyan Folsey,,,Walt Disney Pictures,,,,,,,,,,
The Princess and the Frog,"John Musker, Ron Clements",Peter Del Vecho,,Walt Disney Pictures,97,United States,English," $105,000,000.00 ",,,,,Jeff Draheim,Rob Edwards,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Alice in Wonderland (2010 film),Tim Burton,"Richard D. Zanuck, Joe Roth, Suzanne Todd, Jennifer Todd",,Walt Disney Pictures,108,United States,English," $150,000,000.00 ",,Dariusz Wolski,,,Chris Lebenzon,Linda Woolverton,,"Walt Disney Pictures, Roth Films, The Zanuck Company",,,,,,,,,,
Waking Sleeping Beauty,Don Hahn,Peter Schneider,Stone Circle Pictures,Walt Disney Pictures,85,United States,English,,Don Hahn,,,Patrick Pacheco,Ellen KenesheaVartan NazarianJohn Damien Ryan,,,,,,,,,,,,,
Oceans (film),Jacques Perrin,Jake Eberts,,,104,France,French," $80,000,000.00 ",Pierce Brosnan,David Reichert,,Laurent Gaud,Catherine MauchainVincent Schmidt,,,,,,,,,,,,,
Prince of Persia: The Sands of Time (film),Mike Newell,Jerry Bruckheimer,,Walt Disney Pictures,116,United States,English," $150,000,000.00 ",,John Seale,,,"Michael Kahn, 'Martin Walsh', 'Mick Audsley'","Boaz Yakin, Doug Miro",,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Toy Story 3,Lee Unkrich,Darla K. Anderson,,Walt Disney Pictures,103,United States,English," $200,000,000.00 ",,"Jeremy Lasky, Kim White",,,Ken Schretzmann,Michael Arndt,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Sorcerer's Apprentice (2010 film),Jon Turteltaub,Jerry Bruckheimer,,Walt Disney Pictures,109,United States,English," $150,000,000.00 ",,Bojan Bazelli,,,William Goldenberg,Doug Miro,,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films",,,,,,,,,,
The Crimson Wing: Mystery of the Flamingos,Matthew AeberhardLeander Ward,Paul Webster,,Walt Disney Pictures,74,,English,,"Mariella Frostrup, Zabou Breitman",,,Melanie Finn,,,"United Kingdom, 'United States'","Disneynature, Kudos Pictures",,,,,,,,,,
Tinker Bell and the Great Fairy Rescue,Bradley Raymond,Helen KalafaticMargot Pipkin,,Walt Disney Pictures,79,United States,English," $30,000,000.00 ",Cara Dillon,,,,,"Joe Ansolabehere, Paul Germain",,"Walt Disney Pictures, Disneytoon Studios, Walt Disney PicturesDisneytoon Studios",,,,,,,,,,
Secretariat (film),Randall Wallace,Mark Ciardi,,Walt Disney Pictures,123,United States,English," $35,000,000.00 ",,Dean Semler,,"Mike Rich, Sheldon Turner",John Wright,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Do Dooni Chaar,Habib Faisal,Arindam Chaudhuri,,Walt Disney Pictures,108,India,Hindi,,,Anshuman Mahaley,08/10/2010,,Aarti Bajaj,Habib FaisalRahil Qazi,,"Walt Disney Pictures, Walt Disney Pictures India",,,,,,,,,,
Tangled,"Nathan Greno, Byron Howard",Roy Conli,,Walt Disney Pictures,100,United States,English," $260,000,000.00 ",,,,,Tim Mertens,Dan Fogelman,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Tron: Legacy,Joseph Kosinski,Sean Bailey,,Walt Disney Pictures,125,United States,English," $170,000,000.00 ",,Claudio Miranda,,,James Haygood,"Edward Kitsis, Adam Horowitz",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Anaganaga O Dheerudu,Prakash Kovelamudi,Prasad Devineni,,UTV Motion Pictures ,,India,Telugu,,,Soundarrajan,14/01/2011,Prakash Kovelamudi,Shravan Katikaneni,,,Walt Disney Pictures,,,,,,,,,,
Beverly Hills Chihuahua 2,Alex Zamm,"David Hoberman, Brad Krevoy",,Walt Disney Pictures,84,United States,English,,,Robert Brinkmann,01/02/2011,"Dannah Feinglass, Danielle Schneider",Marshall HarveyHeath Ryan,,,Walt Disney Pictures,,,,,,,,,,
Lilly the Witch: The Journey to Mandolan,Harald Sicheritz,,Walt Disney Productions,Buena Vista Distribution,90,Germany,German,,,Thomas Kienast,,Achim von Borries,,,,,,,,,,,,,,
Mars Needs Moms,Simon Wells,"Robert Zemeckis, Jack Rapke, Steve Starkey",,Walt Disney Pictures,88,United States,English," $150,000,000.00 ",,Robert Presley,,,Wayne Wahrman,"Simon Wells,Wendy Wells",,"Walt Disney Pictures, ImageMovers Digital",,,,,,,,,,
Zokkomon,Satyajit Bhatkal,,,UTV Motion Pictures ,109,India,Hindi,,,Keshav Prakash,22/04/2011,,Suresh Pai,Satyajit BhatkalLancy FernandesSvati Chakravarty Bhatkal,,"Disney World Cinema, Walt Disney Pictures India",,,,,,,,,,
African Cats,"Keith Scholey, Alastair Fothergill",Alix Tidmarsh  Keith Scholey,,Walt Disney Pictures,89,,," $5,000,000.00 ","Samuel L. Jackson, Patrick Stewart",,,,,,"United States,France,United Kingdom","Disneynature, Disneynature\nFothergill / Scholey Productions\nSilverback Films",,,,,,,,,,
Prom (film),Joe Nussbaum,Ted Griffin,Walt Disney Productions,Walt Disney Pictures,104,United States,English," $80,000,000.00 ",,Byron Shah,29/04/2011,Katie Wech,Jeffrey M. Werner,,,,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Jerry Bruckheimer,,Walt Disney Pictures,137,United States,English," $410,600,000.00 ",,Dariusz Wolski,,"Ted Elliott, Terry Rossio",David Brenner,,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Cars 2,John Lasseter,Denise Ream,,Walt Disney Pictures,106,United States,English," $200,000,000.00 ",,Sharon Calahan,,,Stephen Schaffer,Ben Queen,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Winnie the Pooh (2011 film),"Stephen Anderson, Don Hall","Peter Del Vecho, Clark Spencer",,Walt Disney Pictures,63,United States,English," $30,000,000.00 ",,Julio Macat,,,Lisa Linder Silver,,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Spooky Buddies,Robert Vince,Anna McRobertsRobert Vince,Key Pix Productions,Walt Disney Pictures,88,,English,,,Mike Southon,20/09/2011,Anna McRobertsRobert Vince,Kelly Herron,,"United States,Canada",,,,,,,,,,,
The Muppets (film),James Bobin,"David Hoberman, Todd Lieberman",,Walt Disney Pictures,103,United States,English," $45,000,000.00 ",,Don Burgess,,"Jason Segel, 'Nicholas Stoller'",James Thomas,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Treasure Buddies,Robert Vince,Anna McRobertsRobert Vince,Key Pix Productions,Walt Disney Pictures,93,United States,English,,,Kamal Derkaoui,31/01/2012,Anna McRobertsRobert Vince,Jason Pielak,,,,,,,,,,,,,
John Carter (film),Andrew Stanton,"Jim Morris, Colin Wilson",Walt Disney Productions,Walt Disney Pictures,132,United States,English,,,Dan Mindel,,,Eric Zumbrunnen,"Mark Andrews, Michael Chabon",,,,,,,,,,,,
Chimpanzee (film),"Alastair Fothergill, Mark Linfield",Alastair FothergillMark LinfieldAlix Tidmarsh,,Walt Disney Pictures,77,,," $5,000,000.00 ",Tim Allen,Martyn Colbeck (Ivory Coast)Bill Wallauer (Uganda),,Don Hahn,Andy Netley,,"United States,France,United Kingdom",Disneynature,,,,,,,,,,
Arjun: The Warrior Prince,Arnab Chaudhuri[1,"Ronnie Screwvala, Siddharth Roy Kapur",,UTV Motion Pictures ,96,India,Hindi,,,Hemant Chaturvedi,25/05/2012,Rajesh Devraj,A. Sreekar Prasad,,,"Walt Disney Pictures, UTV Motion Pictures",,,,,,,,,,
Brave (2012 film),"Mark Andrews, Brenda Chapman",Katherine Sarafian,,Walt Disney Pictures,93,United States,English," $185,000,000.00 ",,Danielle Feinberg,,,Nicholas C. Smith,"Steve Purcell, Irene Mecchi",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Odd Life of Timothy Green,Peter Hedges,Scott Sanders,,Walt Disney Pictures,100,United States,English," $25,000,000.00 ",,John Toll,15/08/2012,,Andrew Mondshein,Peter Hedges,,"Walt Disney Pictures, Scott Sanders Productions",,,,,,,,,,
Beverly Hills Chihuahua 3: Viva la Fiesta!,Lev L. Spiro,David Hoberman,Walt Disney Productions,Walt Disney Pictures,89,United States,English,,,Greg Gardiner,18/09/2012,Dana Starfield,Matthew Colonna,,,,,,,,,,,,,
Frankenweenie (2012 film),Tim Burton,Allison Abbate,,Walt Disney Pictures,87,United States,English," $39,000,000.00 ",,Peter Sorg,,,Chris Lebenzon,John August,,"Walt Disney Pictures, Tim Burton Productions",,,,,,,,,,
Secret of the Wings,Peggy Holmes,Makul Wigert,DisneyToon Studios,Walt Disney Pictures,75,United States,English," $30,000,000.00 ",Anjelica Huston,,,,Mark Rosenbaum,"Bobs Gannaway,Peggy Holmes,Ryan Rowe,Tom Rogers",,,,,,,,,,,,
Wreck-It Ralph,Rich Moore,Clark Spencer,,Walt Disney Pictures,101,United States,English," $165,000,000.00 ",,Rob Dressel,,,Tim Mertens,"Phil Johnston, Phil Johnston",,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Oz the Great and Powerful,Sam Raimi,Joe Roth,,Walt Disney Pictures,130,United States,English," $215,000,000.00 ",,Peter Deming,,,Bob Murawski,David Lindsay-Abaire,,"Walt Disney Pictures, Roth Films",,,,,,,,,,
Wings of Life,Louis Schwartzberg,Grady CandlerAlix Tidmarsh,,Walt Disney Pictures,77,,,,"Malanie Laurent, Meryl Streep",,,,Jonathan P. Shaw,,"France,United States","Walt Disney Pictures, Disneynature, Blacklight Films",,,,,,,,,,
Monsters University,Dan Scanlon,Kori Rae,,Walt Disney Pictures,104,United States,English," $200,000,000.00 ",,"Matt Aspbury (camera), Jean-Claude Kalache (lighting)",,,Greg Snyder,Dan Gerson,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Lone Ranger (2013 film),Gore Verbinski,Jerry Bruckheimer,,Walt Disney Pictures,149,United States,English," $225,000,000.00 ",,Bojan Bazelli,,,"James Haygood, 'Craig Wood'","Justin Haythe, Ted Elliott, Terry Rossio",,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",,,,,,,,,,
Planes (film),Klay Hall,Traci Balthazor-Flynn,,Walt Disney Pictures,92,United States,English," $50,000,000.00 ",,,,,Jeremy Milton,Jeffrey M. Howard,,"Walt Disney Pictures, Disneytoon Studios",,,,,,,,,,
Super Buddies (film),Robert Vince,Anna McRobertsRobert Vince,,Walt Disney Pictures,81,United States,English,,,Mark Irwin,27/08/2013,Anna McRobertsRobert Vince,Kelly Herron,,,"Walt Disney Pictures, Key Pix Productions",,,,,,,,,,
Frozen (2013 film),"Chris Buck, Jennifer Lee",Peter Del Vecho,,Walt Disney Pictures,102,United States,English," $150,000,000.00 ",,"Scott Beattie (layout), Mohit Kallianpur (lighting)",,,Jeff Draheim,Jennifer Lee,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Saving Mr. Banks,John Lee Hancock,Alison Owen,,Walt Disney Pictures,125,,English," $35,000,000.00 ",,John Schwartzman,,"Kelly Marcel, Sue Smith",Mark Livolsi,,"Australia,United Kingdom,United States","Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Muppets Most Wanted,James Bobin,"David Hoberman, Todd Lieberman",,Walt Disney Pictures,107,United States,English," $50,000,000.00 ",,Don Burgess,,Nicholas Stoller,James Thomas,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
The Pirate Fairy,Peggy Holmes,Jenni Magee-Cook,,Walt Disney Pictures,78,United States,English,,,,,,Anna Catalano,Jeffrey M. HowardKate Kondell,,"Disneytoon Studios, Disneytoon Studios",,,,,,,,,,
Bears (film),"Alastair Fothergill, Keith Scholey",,,Walt Disney Pictures,77,United States,English," $5,000,000.00 ",John C. Reilly,,18/04/2014,Adam Chapman,,,,"Disneynature, Silverback Films",,,,,,,,,,
Million Dollar Arm,Craig Gillespie,"Joe Roth, Mark Ciardi",,Walt Disney Pictures,124,United States,English," $25,000,000.00 ",,Gyula Pados,,Tom McCarthy,Tatiana S. Riegel,,,"Walt Disney Pictures, Roth Films",,,,,,,,,,
Maleficent (film),Robert Stromberg,Joe Roth,,Walt Disney Pictures,97,United States,English," $180,000,000.00 ",Janet McTeer,Dean Semler,,,"Chris Lebenzon, 'Richard Pearson'",Linda Woolverton,,"Walt Disney Pictures, Roth Films",,,,,,,,,,
Planes: Fire & Rescue,Bobs Gannaway,Ferrell Barron,,Walt Disney Pictures,84,United States,English," $50,000,000.00 ",,,,"Bobs Gannaway, Jeffrey M. Howard",Dan Molina,,,"Walt Disney Pictures, Disneytoon Studios",,,,,,,,,,
Khoobsurat (2014 film),"Shashanka Ghosh, Shashanka Ghosh","Rhea Kapoor, Anil Kapoor, Siddharth Roy Kapur, Rhea KapoorAnil KapoorSiddharth Roy Kapur",,UTV Motion Pictures ,127,India,Hindi,,,Tushar Kanti Ray,19/09/2014,Indira BishtJuhi Chaturvedi,Bakul Matiyani,,,"Walt Disney Pictures, Anil Kapoor Films Company, Walt Disney PicturesAnil Kapoor Films Company",,,,,,,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (film)",Miguel Arteta,"Shawn Levy, Lisa Henson",,Walt Disney Pictures,81,United States,English," $28,000,000.00 ",,Terry Stacey,,Rob Lieber,Pamela Martin,,,"Walt Disney Pictures, 21 Laps Entertainment, The Jim Henson Company",,,,,,,,,,
Big Hero 6 (film),"Don Hall, Chris Williams",Roy Conli,,Walt Disney Pictures,102,United States,English," $165,000,000.00 ",,"Rob Dressel (layout), Adolph Lusinsky (lighting)",,,Tim Mertens,"Jordan Roberts, Daniel Gerson",,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
